,MW,Result,home_team_name,away_team_name,Hteam_G_got_M,Ateam_G_got_M,Hteam_G_opp_M,Ateam_G_opp_M,Hteam_CC_got_M,Ateam_CC_got_M,Hteam_CC_opp_M,Ateam_CC_opp_M,Hteam_F_got_M,Ateam_F_got_M,Hteam_F_opp_M,Ateam_F_opp_M,Hteam_YC_got_M,Ateam_YC_got_M,Hteam_YC_opp_M,Ateam_YC_opp_M,Hteam_RC_got_M,Ateam_RC_got_M,Hteam_RC_opp_M,Ateam_RC_opp_M,Hteam_SH_got_M,Ateam_SH_got_M,Hteam_SH_opp_M,Ateam_SH_opp_M,Hteam_SoT_got_M,Ateam_SoT_got_M,Hteam_SoT_opp_M,Ateam_SoT_opp_M,Diff_HT_G_M,Diff_AT_G_M,Diff_HT_CC_M,Diff_AT_CC_M,Diff_HT_F_M,Diff_AT_F_M,Diff_HT_RC_M,Diff_AT_RC_M,Diff_HT_SH_M,Diff_AT_SH_M,Diff_HT_SoT_M,Diff_AT_SoT_M,Diff_HT_YC_M,Diff_AT_YC_M,Diff_ov,Hteam_Bef1_W,Hteam_Bef1_D,Hteam_Bef1_L,Ateam_Bef1_W,Ateam_Bef1_D,Ateam_Bef1_L,Hteam_Bef2_W,Hteam_Bef2_D,Hteam_Bef2_L,Ateam_Bef2_W,Ateam_Bef2_D,Ateam_Bef2_L,Hteam_Bef3_W,Hteam_Bef3_D,Hteam_Bef3_L,Ateam_Bef3_W,Ateam_Bef3_D,Ateam_Bef3_L,Hteam_Bef4_W,Hteam_Bef4_D,Hteam_Bef4_L,Ateam_Bef4_W,Ateam_Bef4_D,Ateam_Bef4_L,Hteam_Bef5_W,Hteam_Bef5_D,Hteam_Bef5_L,Ateam_Bef5_W,Ateam_Bef5_D,Ateam_Bef5_L,apparentTemperatureHigh,apparentTemperatureLow,apparentTemperatureMax,apparentTemperatureMin,cloudCover,dewPoint,humidity,moonPhase,pressure,precipType_None,precipType_rain,precipType_snow,precipIntensity,precipIntensityMax,precipProbability,temperatureHigh,temperatureLow,temperatureMax,temperatureMin,uvIndex,visibility,windBearing,windGust,windSpeed
0,6,D,Liverpool,Everton,0.1891891891891892,0.2972972972972973,0.21621621621621623,0.35135135135135137,0.6486486486486487,0.6756756756756757,0.8648648648648649,0.4864864864864865,1.1891891891891893,1.162162162162162,1.7567567567567568,1.9189189189189189,0.24324324324324326,0.21621621621621623,0.21621621621621623,0.32432432432432434,0.0,0.0,0.0,0.0,1.4054054054054055,1.162162162162162,0.972972972972973,1.027027027027027,0.5405405405405406,0.5135135135135135,0.5135135135135135,0.40540540540540543,-0.02702702702702703,-0.05405405405405406,-0.21621621621621623,0.18918918918918914,-0.5675675675675675,-0.7567567567567568,0.0,0.0,0.43243243243243246,0.1351351351351351,0.027027027027027084,0.10810810810810806,0.02702702702702703,-0.10810810810810811,1.0308641975308603,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,64.29,55.96,64.29,45.39,0.48,48.69,0.77,0.11,1025.2,0,1,0,0.0357,0.0573,0.41,64.79,55.47,64.79,45.52,3,6.132,221,8.02,3.99
1,6,H,Crystal Palace,Leicester City,0.21621621621621623,0.24324324324324326,0.2702702702702703,0.21621621621621623,0.5135135135135135,0.5405405405405406,1.135135135135135,1.1891891891891893,1.972972972972973,1.837837837837838,1.4594594594594594,1.1891891891891893,0.2972972972972973,0.16216216216216217,0.2972972972972973,0.16216216216216217,0.02702702702702703,0.0,0.0,0.02702702702702703,0.8918918918918919,0.7837837837837838,1.3243243243243243,1.7027027027027026,0.4594594594594595,0.32432432432432434,0.6756756756756757,0.7567567567567568,-0.05405405405405406,0.02702702702702703,-0.6216216216216216,-0.6486486486486487,0.5135135135135136,0.6486486486486487,0.02702702702702703,-0.02702702702702703,-0.43243243243243246,-0.9189189189189189,-0.21621621621621617,-0.43243243243243246,0.0,0.0,1.9845679012345698,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,69.57,56.33,69.57,50.99,0.69,53.62,0.78,0.11,1026.3,1,0,0,0,0,0,70.07,55.84,70.07,50.5,3,6.085,131,3.96,0.82
2,6,H,Southampton,Queens Park Rangers,0.24324324324324326,0.08108108108108109,0.08108108108108109,0.2972972972972973,0.6756756756756757,0.7837837837837838,0.43243243243243246,0.7027027027027027,1.8108108108108107,1.027027027027027,1.4324324324324325,1.5405405405405406,0.21621621621621623,0.13513513513513514,0.21621621621621623,0.24324324324324326,0.0,0.0,0.02702702702702703,0.0,1.135135135135135,1.4594594594594594,0.8918918918918919,1.2162162162162162,0.6216216216216216,0.4864864864864865,0.4864864864864865,0.5405405405405406,0.16216216216216217,-0.21621621621621623,0.2432432432432432,0.08108108108108103,0.3783783783783783,-0.5135135135135136,-0.02702702702702703,0.0,0.2432432432432432,0.2432432432432432,0.1351351351351351,-0.05405405405405406,0.0,-0.10810810810810811,0.12345679012345556,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,69.52,52.08,69.52,52.33,0.65,54.86,0.85,0.11,1026.0,1,0,0,0,0,0,70.02,51.59,70.02,51.84,3,6.164,118,6.51,1.18
3,6,H,Manchester United,West Ham United,0.24324324324324326,0.24324324324324326,0.21621621621621623,0.21621621621621623,0.5675675675675675,0.9459459459459459,0.2702702702702703,0.7567567567567568,1.6486486486486487,1.6216216216216217,1.5135135135135136,1.5405405405405406,0.21621621621621623,0.32432432432432434,0.1891891891891892,0.16216216216216217,0.02702702702702703,0.02702702702702703,0.0,0.02702702702702703,0.8918918918918919,1.1891891891891893,0.7567567567567568,1.054054054054054,0.43243243243243246,0.7027027027027027,0.32432432432432434,0.7027027027027027,0.02702702702702703,0.02702702702702703,0.29729729729729726,0.18918918918918914,0.1351351351351351,0.08108108108108114,0.02702702702702703,0.0,0.1351351351351351,0.1351351351351353,0.10810810810810811,0.0,0.02702702702702703,0.16216216216216217,7.135802469135811,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,64.16,54.57,64.16,43.06,0.55,49.39,0.86,0.11,1025.7,0,1,0,0.0009,0.0063,0.76,64.66,54.08,64.66,42.57,3,6.012,208,10.24,1.44
4,6,A,Hull City,Manchester City,0.1891891891891892,0.21621621621621623,0.1891891891891892,0.13513513513513514,0.6756756756756757,1.0,0.7837837837837838,0.43243243243243246,1.3513513513513513,1.945945945945946,1.2972972972972974,1.135135135135135,0.32432432432432434,0.43243243243243246,0.2702702702702703,0.2702702702702703,0.02702702702702703,0.02702702702702703,0.0,0.0,0.7567567567567568,1.4054054054054055,1.2432432432432432,1.135135135135135,0.3783783783783784,0.6216216216216216,0.5945945945945946,0.40540540540540543,0.0,0.08108108108108109,-0.10810810810810811,0.5675675675675675,0.054054054054053946,0.810810810810811,0.02702702702702703,0.02702702702702703,-0.4864864864864864,0.2702702702702704,-0.21621621621621623,0.21621621621621617,0.05405405405405406,0.16216216216216217,-8.694444444444443,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,67.48,52.76,67.48,41.74,0.35,48.31,0.78,0.11,1025.3,1,0,0,0,0,0,67.98,52.27,67.98,41.25,3,6.012,209,9.93,3.15
5,6,H,Chelsea,Aston Villa,0.43243243243243246,0.10810810810810811,0.1891891891891892,0.10810810810810811,0.5945945945945946,0.7837837837837838,1.0,0.7567567567567568,1.5135135135135136,1.3243243243243243,1.4054054054054055,1.3243243243243243,0.21621621621621623,0.2702702702702703,0.2702702702702703,0.2702702702702703,0.0,0.0,0.02702702702702703,0.02702702702702703,1.4054054054054055,0.6216216216216216,1.2162162162162162,1.0810810810810811,0.7297297297297297,0.24324324324324326,0.4864864864864865,0.4594594594594595,0.24324324324324326,0.0,-0.4054054054054054,0.027027027027026973,0.10810810810810811,0.0,-0.02702702702702703,-0.02702702702702703,0.18918918918918926,-0.45945945945945954,0.2432432432432432,-0.21621621621621623,-0.05405405405405406,0.0,8.01543209876543,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,69.78,58.09,69.78,53.36,0.74,54.26,0.75,0.11,1026.2,1,0,0,0,0,0,70.28,57.6,70.28,52.87,3,6.169,138,5.09,0.8
6,6,D,Sunderland,Swansea City,0.13513513513513514,0.21621621621621623,0.16216216216216217,0.16216216216216217,0.5405405405405406,0.21621621621621623,0.6486486486486487,0.6756756756756757,1.5675675675675675,1.7837837837837838,1.7567567567567568,1.5945945945945945,0.2702702702702703,0.2972972972972973,0.21621621621621623,0.24324324324324326,0.0,0.02702702702702703,0.0,0.0,1.1081081081081081,1.027027027027027,1.2432432432432432,1.8108108108108107,0.43243243243243246,0.5405405405405406,0.5945945945945946,0.918918918918919,-0.02702702702702703,0.05405405405405406,-0.10810810810810811,-0.45945945945945943,-0.18918918918918926,0.18918918918918926,0.0,0.02702702702702703,-0.1351351351351351,-0.7837837837837838,-0.16216216216216217,-0.3783783783783784,0.05405405405405406,0.05405405405405406,-0.8611111111111143,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,62.1,53.18,62.1,45.86,0.38,47.51,0.8,0.11,1023.4,1,0,0,0,0,0,62.6,52.69,62.6,45.37,3,6.213,211,10.51,2.5
7,6,D,Arsenal,Tottenham Hotspur,0.2702702702702703,0.1891891891891892,0.16216216216216217,0.16216216216216217,0.7297297297297297,0.8918918918918919,0.5135135135135135,0.8108108108108109,1.5135135135135136,1.6216216216216217,1.8108108108108107,1.4054054054054055,0.35135135135135137,0.08108108108108109,0.32432432432432434,0.3783783783783784,0.0,0.02702702702702703,0.02702702702702703,0.02702702702702703,1.3513513513513513,0.972972972972973,0.7837837837837838,1.2972972972972974,0.4864864864864865,0.4594594594594595,0.4594594594594595,0.4594594594594595,0.10810810810810811,0.02702702702702703,0.21621621621621623,0.08108108108108103,-0.29729729729729715,0.21621621621621623,-0.02702702702702703,0.0,0.5675675675675675,-0.32432432432432434,0.02702702702702703,0.0,0.02702702702702703,-0.2972972972972973,1.4320987654321016,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,69.19,58.98,69.19,53.51,0.76,54.43,0.75,0.11,1026.2,1,0,0,0,0,0,69.69,58.5,69.69,53.02,3,6.178,134,5.74,0.94
8,6,H,West Bromwich Albion,Burnley,0.08108108108108109,0.02702702702702703,0.1891891891891892,0.10810810810810811,0.918918918918919,0.5675675675675675,0.3783783783783784,0.4594594594594595,1.5945945945945945,1.3243243243243243,1.4594594594594594,1.5675675675675675,0.2972972972972973,0.21621621621621623,0.21621621621621623,0.24324324324324326,0.0,0.0,0.0,0.0,1.3783783783783783,1.3243243243243243,1.054054054054054,1.054054054054054,0.6216216216216216,0.6486486486486487,0.43243243243243246,0.5405405405405406,-0.10810810810810811,-0.08108108108108109,0.5405405405405406,0.10810810810810806,0.1351351351351351,-0.2432432432432432,0.0,0.0,0.32432432432432434,0.2702702702702704,0.18918918918918914,0.10810810810810811,0.08108108108108109,-0.02702702702702703,5.191358024691354,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,70.3,55.73,70.3,54.71,0.64,55.42,0.78,0.15,1020.9,0,1,0,0.0003,0.0041,0.09,70.8,55.24,70.8,54.22,3,5.215,147,7.68,1.15
9,6,H,Stoke City,Newcastle United,0.10810810810810811,0.13513513513513514,0.13513513513513514,0.2972972972972973,0.7567567567567568,0.8108108108108109,0.972972972972973,0.5675675675675675,1.3783783783783783,1.2162162162162162,1.4594594594594594,1.837837837837838,0.2972972972972973,0.24324324324324326,0.21621621621621623,0.3783783783783784,0.0,0.02702702702702703,0.02702702702702703,0.0,1.1081081081081081,1.4324324324324325,0.972972972972973,0.972972972972973,0.4864864864864865,0.7027027027027027,0.24324324324324326,0.43243243243243246,-0.02702702702702703,-0.16216216216216217,-0.21621621621621623,0.2432432432432433,-0.08108108108108114,-0.6216216216216217,-0.02702702702702703,0.02702702702702703,0.1351351351351351,0.45945945945945943,0.24324324324324326,0.2702702702702703,0.08108108108108109,-0.13513513513513514,0.1543209876543301,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,64.8,53.85,64.8,53.21,0.55,54.13,0.86,0.18,1019.7,0,1,0,0.0031,0.029,0.53,65.3,53.36,65.3,52.72,3,4.496,173,3.52,1.4
