timestamp,date_GMT,status,attendance,home_team_name,away_team_name,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1471087800,Aug 13 2016 - 11:30am,complete,21037,Hull City,Leicester City,0,0,1.47,0.53,2,1,3,1,1,0,"45'1,57",47,5,3,2,0,2,0,11,15,4,6,7,9,7,17,52,48,0,0,0,0,0,0,0,0,0,0,3.41,3.19,2.39,0,0,0,0,0,0,KCOM Stadium
1471096800,Aug 13 2016 - 2:00pm,complete,24490,Crystal Palace,West Bromwich Albion,0,0,1.05,0.84,0,1,1,0,0,0,,74,3,6,2,0,2,0,12,12,7,6,5,6,12,14,52,48,0,0,0,0,0,0,0,0,0,0,2.2,3.25,3.8,0,0,0,0,0,0,Selhurst Park
1471096800,Aug 13 2016 - 2:00pm,complete,39494,Everton,Tottenham Hotspur,0,0,2.26,1.74,1,1,2,1,1,0,5,59,5,6,0,0,0,0,10,6,7,4,3,2,10,14,40,60,0,0,0,0,0,0,0,0,0,0,3.13,3.36,2.45,0,0,0,0,0,0,Goodison Park
1471096800,Aug 13 2016 - 2:00pm,complete,19126,Burnley,Swansea City,0,0,1.74,0.74,0,1,1,0,0,0,,82,7,4,3,0,2,0,12,15,6,8,6,7,10,14,56,44,0,0,0,0,0,0,0,0,0,0,2.45,3.22,3.26,0,0,0,0,0,0,Turf Moor
1471096800,Aug 13 2016 - 2:00pm,complete,31488,Southampton,Watford,0,0,1.26,0.63,1,1,2,1,0,1,58,9,6,2,1,0,2,1,18,6,10,0,8,6,8,12,65,35,0,0,0,0,0,0,0,0,0,0,1.8,3.64,5.13,0,0,0,0,0,0,St. Mary's Stadium
1471096800,Aug 13 2016 - 2:00pm,complete,32110,Middlesbrough,Stoke City,0,0,0.95,0.89,1,1,2,1,1,0,11,67,9,6,3,0,5,0,8,10,3,2,5,8,18,13,49,51,0,0,0,0,0,0,0,0,0,0,2.49,3.2,3.21,0,0,0,0,0,0,Riverside Stadium
1471105800,Aug 13 2016 - 4:30pm,complete,54362,Manchester City,Sunderland,0,0,2.11,0.53,2,1,3,1,1,0,"4,87",71,10,5,1,0,2,0,13,5,5,3,8,2,11,11,70,30,0,0,0,0,0,0,0,0,0,0,1.21,7,9.99,0,0,0,0,0,0,Etihad Stadium
1471177800,Aug 14 2016 - 12:30pm,complete,11355,Bournemouth,Manchester United,0,0,1.63,1.84,1,3,4,1,0,1,69,"40,59,64",4,2,0,0,1,0,5,6,3,5,2,1,6,10,51,49,0,0,0,0,0,0,0,0,0,0,5.21,3.68,1.78,0,0,0,0,0,0,Vitality Stadium
1471186800,Aug 14 2016 - 3:00pm,complete,60033,Arsenal,Liverpool,0,0,2.37,1.84,3,4,7,2,1,1,"31,64,75","45'1,49,56,63",5,4,3,0,3,0,6,10,2,5,4,5,13,15,52,48,0,0,0,0,0,0,0,0,0,0,2.14,3.44,3.74,0,0,0,0,0,0,Emirates Stadium
1471287600,Aug 15 2016 - 7:00pm,complete,41521,Chelsea,West Ham United,0,0,2.68,1.05,2,1,3,0,0,0,"47,89",77,7,1,5,0,2,0,12,4,5,2,7,2,15,13,60,40,0,0,0,0,0,0,0,0,0,0,1.62,4.01,6.35,0,0,0,0,0,0,Stamford Bridge
1471633200,Aug 19 2016 - 7:00pm,complete,75326,Manchester United,Southampton,0,0,1.79,1.16,2,0,2,1,1,0,"36,52",,4,0,0,0,0,0,10,10,4,2,6,8,11,7,48,52,0,0,0,0,0,0,0,0,0,0,1.47,4.51,8.55,0,0,0,0,0,0,Old Trafford
1471692600,Aug 20 2016 - 11:30am,complete,27455,Stoke City,Manchester City,0,0,1.42,2,1,4,5,2,0,2,49,"27,36,86,90'5",7,7,3,0,4,0,4,5,3,2,1,3,11,12,42,58,0,0,0,0,0,0,0,0,0,0,5.54,4.06,1.68,0,0,0,0,0,0,Bet365 Stadium
